Year,Month,Rainy Days
2010,january,17
2010,february,20
2010,march,18
2010,april,12
2010,may,21
2010,june,8
2010,july,14
2010,august,22
2010,september,15
2010,october,5
2010,november,20
2010,december,22
2011,january,17
2011,february,13
2011,march,7
2011,april,14
2011,may,15
2011,june,17
2011,july,25
2011,august,14
2011,september,8
2011,october,8
2011,november,1
2011,december,16
2012,january,19
2012,february,9
2012,march,9
2012,april,12
2012,may,15
2012,june,17
2012,july,17
2012,august,15
2012,september,7
2012,october,13
2012,november,10
2012,december,11
2013,january,18
2013,february,14
2013,march,14
2013,april,11
2013,may,20
2013,june,18
2013,july,9
2013,august,8
2013,september,17
2013,october,4
2013,november,13
2013,december,11
2014,january,16
2014,february,4
2014,march,9
2014,april,16
2014,may,18
2014,june,16
2014,july,14
2014,august,14
2014,september,8
2014,october,6
2014,november,5
2014,december,9
2015,january,22
2015,february,6
2015,march,12
2015,april,12
2015,may,16
2015,june,10
2015,july,13
2015,august,0
2015,september,12
2015,october,9
2015,november,9
2015,december,11
2016,january,15
2016,february,16
2016,march,15
2016,april,14
2016,may,16
2016,june,7
2016,july,21
2016,august,11
2016,september,4
2016,october,18
2016,november,11
2016,december,13
2017,january,7
2017,february,12
2017,march,15
2017,april,17
2017,may,11
2017,june,15
2017,july,18
2017,august,8
2017,september,18
2017,october,14
2017,november,13
2017,december,15
2018,january,11
2018,february,5
2018,march,8
2018,april,8
2018,may,12
2018,june,15
2018,july,22
2018,august,12
2018,september,9
2018,october,7
2018,november,4
2018,december,16
2019,january,19
2019,february,8
2019,march,13
2019,april,6
2019,may,20
2019,june,12
2019,july,19
2019,august,16
2019,september,14
2019,october,6
2019,november,7
2019,december,11
2020,january,7
2020,february,16
2020,march,12
2020,april,3
2020,may,17
2020,june,21
2020,july,20
2020,august,16
2020,september,10
2020,october,14
2020,november,9
2020,december,7
